Portland-Stone,Portland-Stone
IN,IN
Paules-Church-yard,Paules-Church-yard
Their,Their
Birth,Birth
their,their
Mirth,Mirth
their,their
Thankefulnesse,Thankfulness
their,their
Aduertisement,Advertisement
Written,Written
By,By
FARLEY,FARLEY
a,a
Free-man,Freeman
of,of
London,London
Who,Who
hath,hath
done,done
as,as
freely,freely
for,for
Free-Stone,Freestone
within,within
these,these
eight,eight
yeares,years
as,as
most,most
men,men
and,and
knowes,knows
as,as
much,much
of,of
their,their
mindes,minds
as,as
any,any
Man,Man
Buy,Buy
or,or
goe,go
by,by
LONDON,LONDON
Printed,Printed
by,by
for,for
and,and
are,are
to,to
be,be
sold,sold
at,at
the,the
great,great
South,South
doore,door
of,of
of,of
Pauls,Paul's
THE,THE
AVTHORS,AUTHORS
CHARGE,CHARGE
TO,TO
HIS,HIS
BOOKE,BOOK
TO,TO
know,know
where,where
Portland,Portland
is,is
If,If
any,any
doe,do
desire,desire
Lest,Lest
they,they
should,should
thinke,think
amisse,amiss
Tell,Tell
them,them
in,in
Dorsetshire,Dorsetshire
For,For
some,some
perhaps,perhaps
will,will
say,say
That,That
doe,do
not,not
vnderstand,understand
From,From
whence,whence
they,they
be,be
that,that
they,they
Came,Came
from,from
a,a
forraigne,foreign
Land,Land
So,So
England,England
may,may
haue,have
wrongs,wrongs
And,And
eke,eke
a,a
noble,noble
County,County
And,And
God,God
to,to
whom,whom
belongs,belongs
All,All
thanks,thanks
for,for
his,his
great,great
bounty,bounty
For,For
sure,sure
as,as
Hee,he
's,'s
aboue,above
Then,Then
we,we
no,no
liuing,living
Nation,Nation
E're,e'er
tasted,tasted
of,of
his,his
loue,love
In,In
more,more
abundant,abundant
fashion,fashion
Of,Of
things,things
which,which
named,named
be,be
Aboue,Above
or,or
vnderground,underground
Or,Or
on,on
or,or
in,in
the,the
Sea,Sea
That,That
can,can
or,or
may,may
be,be
found,found
His,His
name,name
be,be
blest,blest
therefore,therefore
And,And
so,so
my,my
Booke,Book
adieu,adieu
I,I
need,need
to,to
say,say
no,no
more,more
But,But
pray,pray
God,God
prosper,prosper
you,you
The,The
Bookes,Books
answer,answer
YOur,YOur
Charge,Charge
I,I
will,will
obey,obey
As,As
I,I
am,am
bound,bound
by,by
right,right
And,And
what,what
y',ye
aue,have
writ,writ
I,I
'le,'ll
say,say
To,To
Lady,Lady
Lord,Lord
and,and
Knight,Knight
In,In
hope,hope
though,though
I,I
am,am
weake,weak
And,And
in,in
proportion,proportion
small,small
Yet,Yet
so,so
y,y
'aue,'ave
taught,taught
me,me
speake,speak
As,As
some,some
good,good
doe,do
I,I
shall,shall
And,And
workmen,workmen
will,will
take,take
heed,heed
To,To
doe,do
what,what
's,'s
iust,just
and,and
fit,fit
Which,Which
is,is
as,as
much,much
as,as
need,need
Where,Where
