The,The
Bookes,Books
of,of
Ouidius,ovidius
Naso,Naso
entytuled,entituled
Metamorphosis,Metamorphosis
translated,translated
oute,out
of,of
Latin,Latin
into,into
English,English
meeter,meeter
by,by
Arthur,Arthur
Golding,Golding
Gentleman,Gentleman
A,A
worke,work
very,very
pleasaunt,pleasant
and,and
delectable,delectable
With,With
skill,skill
heede,heed
and,and
iudgement,judgement
this,this
worke,work
must,must
be,be
read,read
For,For
else,else
to,to
the,the
Reader,Reader
it,it
standes,stands
in,in
small,small
stead,stead
Imprynted,Imprinted
at,at
London,London
by,by
Willyam,William
Seres,Seres
To,To
the,the
ryght,right
Honorable,Honourable
and,and
his,his
singular,singular
good,good
Lord,Lord
Robert,Robert
Erle,earl
of,of
Leycester,Leycester
Baron,Baron
of,of
Denbygh,Denbygh
knyght,knight
of,of
the,the
most,most
noble,noble
order,order
of,of
the,the
Garter,Garter
Arthur,Arthur
Golding,Golding
wisheth,wisheth
continuance,continuance
of,of
health,health
with,with
prosperous,prosperous
estate,estate
and,and
felicitie,felicity
AT,AT
length,length
my,my
chariot,chariot
wheele,wheel
about,about
the,the
mark,mark
hath,hath
found,found
the,the
way,way
And,And
at,at
their,their
weery,weighed
races,razes
end,end
my,my
breathlesse,breathless
horses,horses
stay,stay
The,The
woork,work
is,is
brought,brought
too,too
end,end
by,by
which,which
the,the
author,author
did,did
account,account
And,And
rightly,rightly
with,with
eternall,eternal
fame,fame
aboue,above
the,the
starres,stars
too,too
mount,mount
For,For
whatsoeuer,whatsoever
hath,hath
bene,been
writ,writ
of,of
auncient,ancient
tyme,time
in,in
greeke,greek
By,By
sundry,sundry
men,men
dispersedly,dispersedly
and,and
in,in
the,the
latin,latin
Of,Of
this,this
same,same
dark,dark
Philosophie,Philosophy
of,of
turned,turned
shapes,shapes
the,the
same,same
Hath,Hath
Ouid,Ovid
into,into
one,one
whole,whole
masse,mass
in,in
this,this
booke,book
brought,brought
in,in
frame,frame
Fowre,Four
kynd,kind
of,of
things,things
in,in
this,this
his,his
worke,work
the,the
Poet,Poet
dooth,doth
conteyne,contain
That,That
nothing,nothing
vnder,under
heauen,heaven
dooth,doth
ay,ay
in,in
stedfast,steadfast
state,state
remayne,remain
And,And
next,next
that,that
nothing,nothing
perisheth,perisheth
but,but
that,that
eche,each
substance,substance
takes,takes
Another,Another
shape,shape
than,than
that,that
it,it
had,had
Of,Of
theis,these
twoo,two
points,points
he,he
makes,makes
The,The
proof,proof
by,by
shewing,showing
through,through
his,his
woorke,work
the,the
wonderfull,wonderful
exchaunge,exchange
Of,Of
Goddes,Gods
men,men
beasts,beasts
and,and
elements,elements
too,too
sundry,sundry
shapes,shapes
right,right
straunge,strange
Beginning,Beginning
with,with
creation,creation
of,of
the,the
world,world
and,and
man,man
of,of
slyme,slime
And,And
so,so
proceeding,proceeding
with,with
the,the
turnes,turns
that,that
happened,happened
till,till
his,his
tyme,tyme
Then,Then
sheweth,showeth
he,he
the,the
soule,soul
of,of
man,man
from,from
dying,dying
to,to
be,be
free,free
By,By
samples,samples
of,of
the,the
noblemen,noblemen
who,who
for,for
their,their
vertues,virtues
bee,be
Accounted,Accounted
and,and
canonized,canonised
for,for
Goddes,Gods
by,by
heathen,heathen
men,men
And,And
by,by
the,the
peynes,pains
of,of
Lymbo,Limbo
lake,lake
and,and
blysfull,blissful
state,state
agen,again
Of,Of
spirits,spirits
in,in
th',th'
Elysian,Elysian
feelds,fields
