THE,THE
CHRISTIANS,CHRISTIANS
SANCTVARIE,SANCTVARIE
Whereinto,Whereinto
being,being
retired,retired
he,he
may,may
safely,safely
be,be
preserued,preserved
in,in
the,the
middest,midst
of,of
all,all
dangers,dangers
Fit,Fit
for,for
all,all
men,men
to,to
read,read
at,at
all,all
times,times
especially,especially
for,for
those,those
that,that
are,are
exercised,exercised
in,in
the,the
schoole,school
of,of
affliction,affliction
in,in
the,the
time,time
of,of
Gods,God's
present,present
Visitation,Visitation
Described,Described
in,in
two,two
Bookes,Books
or,or
Treatises,Treatises
Of,Of
the,the
Christian,Christian
exercise,exercise
of,of
Fasting,Fasting
Of,Of
holy,holy
Inuocation,Invocation
on,on
Gods,God's
name,name
By,By
GEORGE,GEORGE
DOWNAME,DOWNAME
Doctor,Doctor
of,of
Diuinitie,Divinity
SALVS,SALUS
VITAE,VITAE
LONDON,LONDON
Printed,Printed
by,by
Adam,Adam
Islip,Islip
for,for
Thomas,Thomas
Man,Man
dwelling,dwelling
in,in
Pater-noster,Paternoster
Row,Row
at,at
the,the
signe,sign
of,of
the,the
Talbot,Talbot
To,To
the,the
Right,Right
worshipfull,worshipful
my,my
singuler,singular
good,good
friend,friend
Iames,james
Mountague,Montague
Doctor,Doctor
of,of
Diuinitie,Divinity
and,and
Deane,Deane
of,of
his,his
Maiesties,majesties
Chappell,Chapel
WHen,WHen
as,as
it,it
pleased,pleased
God,God
by,by
his,his
publicke,public
visitation,visitation
the,the
last,last
yeare,year
to,to
call,call
vs,us
vnto,unto
Fasting,Fasting
and,and
mourning,mourning
and,and
to,to
mooue,move
the,the
Royall,Royal
heart,heart
of,of
our,our
Soueraigne,Sovereign
Lord,Lord
the,the
King,King
to,to
proclaime,proclaim
a,a
generall,general
Fast,Fast
to,to
be,be
obserued,observed
weekly,weekly
I,I
did,did
acknowledge,acknowledge
it,it
to,to
be,be
my,my
bounden,bounden
duty,duty
hauing,having
according,according
to,to
direction,direction
of,of
publicke,public
authoritie,authority
assembled,assembled
the,the
congregation,congregation
ouer,over
which,which
I,I
am,am
placed,placed
for,for
the,the
obseruation,observation
of,of
those,those
Fasts,Fasts
first,first
to,to
instruct,instruct
them,them
in,in
the,the
doctrine,doctrine
of,of
fasting,fasting
and,and
prayer,prayer
and,and
after,after
to,to
stirre,stir
them,them
vp,up
to,to
the,the
effectuall,effectual
practise,practice
of,of
these,these
Christian,Christian
duties,duties
Wherefore,Wherefore
after,after
I,I
had,had
bestowed,bestowed
some,some
paynes,pains
that,that
way,way
I,I
was,was
intreated,entreated
by,by
a,a
louing,loving
friend,friend
that,that
I,I
would,would
not,not
only,only
set,set
downe,down
in,in
writing,writing
a,a
couple,couple
of,of
my,my
Sermons,Sermons
which,which
especially,especially
handle,handle
the,the
dutie,duty
of,of
prayer,prayer
but,but
also,also
pen,pen
a,a
Treatise,Treatise
of,of
the,the
Christian,Christian
exercise,exercise
of,of
Fasting,Fasting
The,The
which,which
I,I
was,was
the,the
more,more
easily,easily
persuaded,persuaded
vnto,unto
because,because
it,it
was,was
then,then
alledged,alleged
and,and
I,I
knew,knew
not,not
the,the
contrarie,contrary
That,That
there,there
was,was
very,very
little,little
written,written
of,of
this,this
argument,argument
in,in
the,the
English,English
tongue,tongue
Howbeit,Howbeit
I,I
do,do
now,now
vnderstand,understand
that,that
not,not
onely,only
before,before
that,that
time,time
but,but
also,also
since,since
I,I
wrot,wrote
this,this
Treatise,Treatise
which,which
I,I
wholly,wholly
finished,finished
the,the
last,last
yeare,year
some,some
others,others
haue,have
taken,taken
good,good
paines,pains
in,in
this,this
kind,kind
To,To
whose,whose
godly,godly
labors,labours
this,this
booke,book
of,of
mine,mine
though,though
published,published
after,after
them,them
ought,ought
not,not
to,to
be,be
preiudiciall,prejudicial
as,as
though,though
I,I
had,had
gathered,gathered
into,into
this,this
short,short
sum,sum
what,what
they,they
and,and
others,others
haue,have
written,written
more,more
at,at
large,large
of,of
this,this
argument,argument
for,for
as,as
I,I
had,had
fully,fully
finished,finished
this,this
Treatise,Treatise
before,before
I,I
saw,saw
theirs,theirs
so,so
haue,have
I,I
not,not
since,since
taken,taken
any,any
thing,thing
from,from
them,them
This,This
Treatise,Treatise
of,of
the,the
Christian,Christian
exercise,exercise
of,of
Fasting,Fasting
together,together
with,with
the,the
other,other
of,of
Prayer,Prayer
containing,containing
two,two
Sermons,Sermons
on,on
the,the
verse,verse
of,of
the,the
Psalme,Psalm
which,which
were,were
written,written
in,in
the,the
due,due
season,season
though,though
published,published
thus,thus
late,late
hauing,having
waited,waited
at,at
London,London
euer,ever
since,since
the,the
last,last
yeare,year
vpon,upon
the,the
printing,printing
of,of
my,my
Lectures,Lectures
on,on
the,the
Psalme,Psalm
I,I
now,now
dedicat,dedicat
to,to
your,your
Worship,Worship
as,as
a,a
small,small
token,token
of,of
my,my
great,great
loue,love
and,and
a,a
perpetuall,perpetual
remembrance,remembrance
of,of
mine,mine
vnfained,unfeigned
thankfulnesse,thankfulness
Of,Of
my,my
loue,love
in,in
respect,respect
of,of
your,your
manifold,manifold
vertues,virtues
wherewith,wherewith
I,I
was,was
long,long
acquainted,acquainted
whiles,whiles
we,we
liued,lived
together,together
in,in
Christs,Christ's
Colledge,College
that,that
famous,famous
seminarie,seminary
of,of
good,good
learning,learning
and,and
true,true
godlinesse,godliness
Of,Of
my,my
thankfulnesse,thankfulness
in,in
regard,regard
not,not
onely,only
of,of
your,your
former,former
goodwill,goodwill
but,but
also,also
of,of
your,your
late,late
fauours,favours
vouchsafed,vouchsafed
vnto,unto
me,me
since,since
you,you
followed,followed
the,the
The,The
Lord,Lord
blesse,bless
you,you
and,and
enrich,enrich
you,you
with,with
his,his
graces,graces
and,and
increase,increase
your,your
fauour,favour
with,with
God,God
and,and
man,man
to,to
his,his
glorie,glory
and,and
your,your
owne,own
endlesse,endless
comfort,comfort
Amen,Amen
Mondon,Mondon
in,in
Hertfordshire,Hertfordshire
the,the
of,of
Nouember,November
Anno,Anno
Your,Your
worships,worships
in,in
the,the
Lord,Lord
George,George
Downame,Downame
THE,THE
ANALISIS,ANALISIS
OF,OF
THE,THE
FIRST,FIRST
Treatise,Treatise
being,being
the,the
Christian,Christian
Exercise,Exercise
of,of
Fasting,Fasting
This,This
Treatise,Treatise
containeth,containeth
the,the
Doctrine,Doctrine
of,of
the,the
true,true
and,and
Christian,Christian
fast,fast
shewing,showing
in,in
Generall,General
what,what
fasting,fasting
is,is
Particular,Particular
the,the
sorts,sorts
of,of
fasting,fasting
that,that
it,it
is,is
either,either
Naturall,Natural
