Discourses,Discourses
Upon,Upon
the,the
Rich,Rich
Man,Man
AND,AND
LAZARUS,LAZARUS
By,By
CRUSO,CRUSO
Prov,Prov
Better,Better
is,is
the,the
Poor,Poor
that,that
walketh,walketh
in,in
his,his
Uprightness,Uprightness
than,than
he,he
that,that
is,is
perverse,perverse
in,in
his,his
Ways,Ways
tho,tho
he,he
be,be
Rich,Rich
LONDON,LONDON
Printed,Printed
by,by
Bridge,Bridge
for,for
Tho,Tho
Parkhurst,Parkhurst
at,at
the,the
Bible,Bible
and,and
Three,Three
Crowns,Crowns
in,in
Cheapside,Cheapside
near,near
Mercers,Mercers
Chapel,Chapel
THE,THE
PREFACE,PREFACE
THE,THE
whole,whole
Scripture,Scripture
is,is
a,a
Field,Field
wherein,wherein
Rich,Rich
Treasures,Treasures
of,of
Wisdom,Wisdom
and,and
Knowledge,Knowledge
are,are
hid,hide
and,and
yet,yet
not,not
hid,hide
so,so
but,but
that,that
they,they
may,may
be,be
found,found
and,and
possess't,possess't
by,by
those,those
that,that
seek,seek
and,and
search,search
for,for
them,them
as,as
such,such
in,in
a,a
due,due
Manner,Manner
and,and
to,to
right,right
How,How
far,far
it,it
may,may
be,be
allowed,allowed
to,to
make,make
Comparisons,Comparisons
between,between
one,one
part,part
of,of
Scripture,Scripture
and,and
another,another
and,and
preferr,prefer
one,one
before,before
another,another
I,I
am,am
not,not
now,now
concern'd,concerned
to,to
determine,determine
or,or
enquire,inquire
but,but
considering,considering
how,how
very,very
instructive,instructive
all,all
the,the
Words,Words
of,of
our,our
Lord,Lord
were,were
and,and
how,how
much,much
valuable,valuable
Truth,Truth
hath,hath
been,been
often,often
brought,brought
forth,forth
by,by
the,the
elaborate,elaborate
Discussion,Discussion
of,of
a,a
single,single
Sentence,Sentence
I,I
have,have
sometimes,sometimes
wonder'd,wondered
that,that
this,this
piece,piece
of,of
Holy,Holy
Ground,Ground
hath,hath
remained,remained
hitherto,hitherto
in,in
so,so
great,great
a,a
measure,measure
untoucht,untouched
when,when
it,it
deserves,deserves
so,so
well,well
to,to
be,be
broken,broken
up,up
by,by
the,the
most,most
able,able
and,and
skilful,skilful
Hand,Hand
for,for
if,if
I,I
had,had
met,met
with,with
any,any
such,such
endeavours,endeavours
of,of
that,that
kind,kind
as,as
the,the
peculiarity,peculiarity
of,of
the,the
Subject,Subject
seems,seems
to,to
call,call
for,for
this,this
poor,poor
Service,Service
of,of
mine,mine
had,had
been,been
never,never
undertaken,undertaken
Nor,Nor
did,did
I,I
design,design
long,long
after,after
the,the
first,first
undertaking,undertaking
that,that
it,it
should,should
be,be
made,made
thus,thus
Publick,public
but,but
it,it
should,should
have,have
breath'd,breathed
it,it
's,'s
last,last
in,in
the,the
Pulpit,Pulpit
if,if
my,my
own,own
Inclinations,Inclinations
and,and
Purposes,Purposes
could,could
have,have
prevail'd,prevailed
against,against
the,the
repeated,repeated
and,and
undeniable,undeniable
Requests,Requests
of,of
several,several
other,other
Persons,Persons
However,However
I,I
am,am
so,so
far,far
defended,defended
against,against
the,the
Censures,Censures
which,which
this,this
performance,performance
may,may
meet,meet
with,with
from,from
Enemies,Enemies
of,of
all,all
sorts,sorts
that,that
none,none
can,can
have,have
meaner,meaner
thoughts,thoughts
of,of
it,it
